"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_1407","cell",1334,835,0.449775112443778,"0","0","0"
"cell_1408","cell",1335,935,0.299625468164794,"0","0","0"
"cell_1409","cell",1333,859,0.150037509377344,"4","4","4"
"cell_1410","cell",1333,908,0.825206301575394,"0","0","0"
"cell_1411","cell",1332,979,0,"0","0","0"
"cell_1412","cell",1328,760,0,"3","3","3"
"cell_1413","cell",1333,968,0.150037509377344,"4","4","4"
"cell_1414","cell",1329,941,0.0752445447705041,"2","2","2"
"cell_1415","cell",1329,886,0.0752445447705041,"1","1","1"
"cell_1416","cell",1328,887,0.225903614457831,"0","8","8"
"cell_1417","cell",1323,814,0.680272108843537,"3","3","3"
"cell_1418","cell",1324,904,0.0755287009063444,"0","0","0"
"cell_1419","cell",1324,901,0.0755287009063444,"6","6","6"
"cell_1420","cell",1324,947,0,"0","0","0"
"cell_1421","cell",1323,850,0.151171579743008,"1","1","1"
"cell_1422","cell",1319,922,0.151630022744503,"0","0","0"
"cell_1423","cell",1320,931,0.303030303030303,"2","2","2"
"cell_1424","cell",1315,795,0.91254752851711,"3","3","3"
"cell_1425","cell",1322,893,0.226928895612708,"0","0","0"
"cell_1426","cell",1318,1009,0.151745068285281,"1","1","1"
"cell_1427","cell",1316,885,0,"6","6","6"
"cell_1428","cell",1314,920,0.228310502283105,"1","1","1"
"cell_1429","cell",1316,796,0.531914893617021,"3","3","3"
"cell_1430","cell",1317,836,0.0759301442672741,"0","0","0"
"cell_1431","cell",1309,974,0.152788388082506,"1","1","1"
"cell_1432","cell",1314,939,0.60882800608828,"0","1","1"
"cell_1433","cell",1316,951,0.0759878419452888,"2","2","2"
"cell_1434","cell",1315,987,0.228136882129278,"4","4","4"
"cell_1435","cell",1315,920,0,"1","1","1"
"cell_1436","cell",1312,983,0.457317073170732,"4","4","4"
"cell_1437","cell",1313,814,0.304645849200305,"5","5","5"
"cell_1438","cell",1313,848,0,"0","0","0"
"cell_1439","cell",1311,888,0.07627765064836,"1","1","1"
"cell_1440","cell",1311,888,0.15255530129672,"0","0","0"
"cell_1441","cell",1307,828,0.53557765876052,"3","3","3"
"cell_1442","cell",1310,848,0.0763358778625954,"0","0","0"
"cell_1443","cell",1309,839,0.305576776165011,"5","5","5"
"cell_1444","cell",1301,873,0.153727901614143,"8","9","9"
"cell_1445","cell",1304,939,0.383435582822086,"2","2","2"
"cell_1446","cell",1306,856,0.0765696784073507,"2","2","2"
"cell_1447","cell",1302,918,0.0768049155145929,"0","0","0"
"cell_1448","cell",1304,951,0.230061349693252,"0","0","0"
"cell_1449","cell",1301,930,0.153727901614143,"2","2","2"
"cell_1450","cell",1300,887,0.230769230769231,"6","6","6"
"cell_1451","cell",1305,811,0,"2","2","2"
"cell_1452","cell",1304,856,0.230061349693252,"0","0","0"
"cell_1453","cell",1296,902,0.385802469135802,"1","1","1"
"cell_1454","cell",1303,946,0.153491941673062,"2","2","2"
"cell_1455","cell",1301,904,0.230591852421214,"4","4","4"
"cell_1456","cell",1299,853,0.153964588144727,"4","4","4"
"cell_1457","cell",1296,776,0,"3","3","3"
"cell_1458","cell",1295,900,0.386100386100386,"5","5","5"
"cell_1459","cell",1295,896,0.231660231660232,"1","1","1"
"cell_1460","cell",1296,966,0.385802469135802,"2","2","2"
"cell_1461","cell",1296,933,0.231481481481481,"0","1","1"
"cell_1462","cell",1298,797,0.231124807395994,"5","5","5"
"cell_1463","cell",1294,932,0.540958268933539,"0","0","0"
"cell_1464","cell",1290,938,0,"0","0","0"
"cell_1465","cell",1291,926,0.387296669248644,"4","4","4"
"cell_1466","cell",1296,710,0.925925925925926,"3","3","3"
"cell_1467","cell",1292,943,0.232198142414861,"2","10","10"
"cell_1468","cell",1292,957,0.386996904024768,"1","1","1"
"cell_1469","cell",1292,884,0.386996904024768,"2","2","2"
"cell_1470","cell",1285,963,0.0778210116731518,"2","2","2"
"cell_1471","cell",1287,758,0.388500388500388,"7","7","7"
"cell_1472","cell",1292,895,0.386996904024768,"2","2","2"
"cell_1473","cell",1289,884,0.155159038013964,"6","6","6"
"cell_1474","cell",1285,821,0.389105058365759,"0","0","0"
"cell_1475","cell",1287,821,0.155400155400155,"1","1","1"
"cell_1476","cell",1285,940,0.466926070038911,"0","0","0"
"cell_1477","cell",1285,910,0,"0","0","0"
"cell_1478","cell",1280,924,0.078125,"2","2","2"
"cell_1479","cell",1284,820,0.0778816199376947,"1","1","1"
"cell_1480","cell",1281,827,0.078064012490242,"5","5","5"
"cell_1481","cell",1280,779,0.46875,"3","3","3"
"cell_1482","cell",1280,954,0.3125,"2","1","1"
"cell_1483","cell",1279,871,0.547302580140735,"0","10","10"
"cell_1484","cell",1274,871,0.156985871271586,"2","2","2"
"cell_1485","cell",1280,906,0.15625,"2","1","1"
"cell_1486","cell",1277,846,0.548159749412686,"2","2","2"
"cell_1487","cell",1279,830,0.234558248631744,"3","3","3"
"cell_1488","cell",1274,832,0.392464678178964,"2","1","1"
"cell_1489","cell",1269,872,0.236406619385343,"0","0","0"
"cell_1490","cell",1278,902,0.234741784037559,"2","2","2"
"cell_1491","cell",1275,909,0.0784313725490196,"2","10","10"
"cell_1492","cell",1273,895,0.157109190887667,"6","6","6"
"cell_1493","cell",1272,929,0.550314465408805,"0","0","0"
"cell_1494","cell",1275,823,1.72549019607843,"3","3","3"
"cell_1495","cell",1272,842,0.157232704402516,"6","6","6"
"cell_1496","cell",1274,877,0,"1","1","1"
"cell_1497","cell",1269,706,0.157604412923562,"3","3","3"
"cell_1498","cell",1265,885,0,"2","2","2"
"cell_1499","cell",1265,874,0.474308300395257,"1","1","1"
"cell_1500","cell",1264,911,0.0791139240506329,"1","1","1"
"cell_1501","cell",1264,881,0.316455696202532,"2","2","2"
"cell_1502","cell",1267,927,0.15785319652723,"4","4","4"
"cell_1503","cell",1264,849,0.0791139240506329,"1","1","1"
"cell_1504","cell",1260,882,0,"1","1","1"
"cell_1505","cell",1261,898,0.237906423473434,"0","0","0"
"cell_1506","cell",1259,796,0.238284352660842,"0","0","0"
"cell_1507","cell",1257,887,0.238663484486874,"7","7","7"
"cell_1508","cell",1256,932,0.0796178343949045,"1","1","1"
"cell_1509","cell",1255,904,0.0796812749003984,"1","1","1"
"cell_1510","cell",1255,819,0.159362549800797,"0","0","0"
"cell_1511","cell",1257,840,0,"0","0","0"
"cell_1512","cell",1256,850,0.557324840764331,"0","0","0"
"cell_1513","cell",1250,876,0.32,"4","4","4"
"cell_1514","cell",1256,815,0.318471337579618,"6","6","6"
"cell_1515","cell",1256,880,0.159235668789809,"1","1","1"
"cell_1516","cell",1252,877,0,"0","0","0"
"cell_1517","cell",1252,814,0.0798722044728434,"0","0","0"
"cell_1518","cell",1251,882,0.0799360511590727,"5","5","5"
"cell_1519","cell",1251,846,0.479616306954436,"0","0","0"
"cell_1520","cell",1253,874,0.319233838786911,"1","1","1"
"cell_1521","cell",1250,865,0.16,"0","0","0"
"cell_1522","cell",1250,932,0.08,"1","1","1"
"cell_1523","cell",1250,909,0.56,"2","2","2"
"cell_1524","cell",1250,892,0,"1","1","1"
"cell_1525","cell",1247,875,0.641539695268645,"1","1","1"
"cell_1526","cell",1250,841,0.64,"5","5","5"
"cell_1527","cell",1250,829,0.24,"0","0","0"
"cell_1528","cell",1249,881,0.240192153722978,"0","0","0"
"cell_1529","cell",1251,863,0.239808153477218,"0","0","0"
"cell_1530","cell",1246,882,0.160513643659711,"1","1","1"
"cell_1531","cell",1249,862,0.240192153722978,"2","1","1"
"cell_1532","cell",1248,909,0,"4","4","4"
"cell_1533","cell",1247,882,0.240577385725742,"0","0","0"
"cell_1534","cell",1248,926,0,"4","4","4"
"cell_1535","cell",1248,845,0.480769230769231,"0","0","0"
"cell_1536","cell",1248,827,0.400641025641026,"2","2","2"
"cell_1537","cell",1246,845,0.160513643659711,"2","2","2"
"cell_1538","cell",1245,841,0.160642570281124,"2","2","2"
"cell_1539","cell",1245,826,0.160642570281124,"2","2","2"
"cell_1540","cell",1240,857,0.161290322580645,"5","5","5"
"cell_1541","cell",1241,854,0.48348106365834,"0","0","0"
"cell_1542","cell",1243,845,2.25261464199517,"0","0","0"
"cell_1543","cell",1242,780,0.483091787439614,"6","6","6"
"cell_1544","cell",1240,717,0.806451612903226,"3","3","3"
"cell_1545","cell",1239,866,0.322841000807102,"0","1","1"
"cell_1546","cell",1241,901,0.24174053182917,"1","1","1"
"cell_1547","cell",1239,712,0.645682001614205,"3","3","3"
"cell_1548","cell",1238,852,0.161550888529887,"1","1","1"
"cell_1549","cell",1230,815,0,"0","0","0"
"cell_1550","cell",1236,865,0.0809061488673139,"0","0","0"
"cell_1551","cell",1237,803,0.161681487469685,"1","1","1"
"cell_1552","cell",1233,873,0.24330900243309,"6","6","6"
"cell_1553","cell",1235,876,0.0809716599190283,"5","5","5"
"cell_1554","cell",1234,910,1.21555915721232,"4","4","4"
"cell_1555","cell",1235,927,0.161943319838057,"1","1","1"
"cell_1556","cell",1232,848,0.324675324675325,"7","7","7"
"cell_1557","cell",1234,811,0.567260940032415,"0","0","0"
"cell_1558","cell",1232,868,0.0811688311688312,"2","2","2"
"cell_1559","cell",1227,894,0.244498777506112,"1","1","1"
"cell_1560","cell",1226,761,0.0815660685154976,"3","3","3"
"cell_1561","cell",1231,899,0.974817221770918,"0","0","0"
"cell_1562","cell",1230,873,0.650406504065041,"4","4","4"
"cell_1563","cell",1226,886,0,"8","9","9"
"cell_1564","cell",1226,835,1.06035889070147,"3","3","3"
"cell_1565","cell",1226,923,0.163132137030995,"1","1","1"
"cell_1566","cell",1227,814,0.162999185004075,"2","2","2"
"cell_1567","cell",1222,817,0.327332242225859,"2","10","10"
"cell_1568","cell",1226,902,0,"2","2","2"
"cell_1569","cell",1228,895,0,"1","1","1"
"cell_1570","cell",1227,719,0.244498777506112,"2","2","2"
"cell_1571","cell",1224,785,0.65359477124183,"3","3","3"
"cell_1572","cell",1225,874,0.244897959183673,"1","1","1"
"cell_1573","cell",1226,808,0.0815660685154976,"0","0","0"
"cell_1574","cell",1223,824,0,"2","2","2"
"cell_1575","cell",1221,799,0.245700245700246,"0","0","0"
"cell_1576","cell",1217,795,0.821692686935086,"1","1","1"
"cell_1577","cell",1219,827,0.164068908941756,"2","2","2"
"cell_1578","cell",1217,828,0.328677074774035,"2","2","2"
"cell_1579","cell",1215,908,0,"4","4","4"
"cell_1580","cell",1214,720,0.741350906095552,"3","3","3"
"cell_1581","cell",1211,937,0.578034682080925,"4","4","4"
"cell_1582","cell",1214,894,0.247116968698517,"2","2","2"
"cell_1583","cell",1205,858,0.33195020746888,"0","1","1"
"cell_1584","cell",1213,819,0.247320692497939,"0","0","0"
"cell_1585","cell",1210,806,0.247933884297521,"5","5","5"
"cell_1586","cell",1203,748,0.166251039068994,"3","3","3"
"cell_1587","cell",1204,824,0.0830564784053156,"2","2","2"
"cell_1588","cell",1205,859,0.580912863070539,"0","0","0"
"cell_1589","cell",1208,793,0.0827814569536424,"4","4","4"
"cell_1590","cell",1207,654,0.248550124275062,"3","3","3"
"cell_1591","cell",1206,829,0.414593698175788,"0","0","0"
"cell_1592","cell",1204,823,0,"1","1","1"
"cell_1593","cell",1205,815,0.33195020746888,"0","0","0"
"cell_1594","cell",1201,740,0.832639467110741,"3","3","3"
"cell_1595","cell",1204,825,0,"2","2","2"
"cell_1596","cell",1201,806,0.0832639467110741,"2","2","2"
"cell_1597","cell",1201,903,0.41631973355537,"1","1","1"
"cell_1598","cell",1200,830,0.666666666666667,"7","7","7"
"cell_1599","cell",1202,836,0.249584026622296,"2","2","2"
"cell_1600","cell",1201,844,0.0832639467110741,"1","1","1"
"cell_1601","cell",1197,856,0.334168755221387,"0","0","0"
"cell_1602","cell",1200,786,0.583333333333333,"0","0","0"
"cell_1603","cell",1197,831,0.584795321637427,"2","2","2"
"cell_1604","cell",1195,800,0,"0","0","0"
"cell_1605","cell",1196,639,0.668896321070234,"3","3","3"
"cell_1606","cell",1198,670,0.667779632721202,"3","3","3"
"cell_1607","cell",1188,834,1.17845117845118,"1","1","1"
"cell_1608","cell",1189,871,0.0841042893187553,"4","4","4"
"cell_1609","cell",1193,833,0.419111483654652,"1","1","1"
"cell_1610","cell",1189,839,0.841042893187553,"2","2","2"
"cell_1611","cell",1189,840,0.168208578637511,"2","2","2"
"cell_1612","cell",1192,864,0.0838926174496644,"1","1","1"
"cell_1613","cell",1183,765,0.169061707523246,"2","2","2"
"cell_1614","cell",1189,802,0.0841042893187553,"3","3","3"
"cell_1615","cell",1189,820,0,"4","4","4"
"cell_1616","cell",1187,796,0.25273799494524,"2","2","2"
"cell_1617","cell",1185,818,0.337552742616034,"2","2","2"
"cell_1618","cell",1184,860,0,"2","2","2"
"cell_1619","cell",1183,782,0.422654268808115,"3","3","3"
"cell_1620","cell",1185,801,0.168776371308017,"0","0","0"
"cell_1621","cell",1183,804,0.253592561284869,"0","0","0"
"cell_1622","cell",1182,784,0.169204737732657,"2","2","2"
"cell_1623","cell",1183,746,0.169061707523246,"3","3","3"
"cell_1624","cell",1183,876,0.084530853761623,"0","0","0"
"cell_1625","cell",1182,835,0.253807106598985,"2","2","2"
"cell_1626","cell",1182,836,0.423011844331641,"0","0","0"
"cell_1627","cell",1177,847,0.254885301614274,"4","4","4"
"cell_1628","cell",1177,770,0.254885301614274,"0","0","0"
"cell_1629","cell",1179,839,0.254452926208651,"2","2","2"
"cell_1630","cell",1179,825,0.424088210347752,"0","0","0"
"cell_1631","cell",1168,836,0.513698630136986,"1","12","12"
"cell_1632","cell",1175,801,0,"1","1","1"
"cell_1633","cell",1174,794,0.0851788756388416,"1","1","1"
"cell_1634","cell",1171,842,0.683176771989752,"0","0","0"
"cell_1635","cell",1170,805,0,"2","2","2"
"cell_1636","cell",1168,849,0,"2","2","2"
"cell_1637","cell",1170,806,0.0854700854700855,"0","0","0"
"cell_1638","cell",1167,762,0.25706940874036,"0","0","0"
"cell_1639","cell",1162,808,0.0860585197934596,"2","2","2"
"cell_1640","cell",1162,796,0.172117039586919,"7","7","7"
"cell_1641","cell",1164,813,0.0859106529209622,"1","1","1"
"cell_1642","cell",1164,792,0.0859106529209622,"1","1","1"
"cell_1643","cell",1163,818,0.171969045571797,"0","0","0"
"cell_1644","cell",1164,894,0.0859106529209622,"1","1","1"
"cell_1645","cell",1163,796,0.257953568357696,"1","1","1"
"cell_1646","cell",1163,734,0.171969045571797,"3","3","3"
"cell_1647","cell",1163,784,0,"2","2","2"
"cell_1648","cell",1160,792,0.172413793103448,"2","2","2"
"cell_1649","cell",1163,703,0.859845227858985,"0","0","0"
"cell_1650","cell",1161,645,0,"3","3","3"
"cell_1651","cell",1160,803,0.258620689655172,"4","4","4"
"cell_1652","cell",1161,772,0,"6","6","6"
"cell_1653","cell",1154,893,0.173310225303293,"2","1","1"
"cell_1654","cell",1158,799,0,"3","3","3"
"cell_1655","cell",1159,779,0.0862812769628991,"1","1","1"
"cell_1656","cell",1157,861,0.0864304235090752,"4","4","4"
"cell_1657","cell",1157,683,0.605012964563526,"1","12","12"
"cell_1658","cell",1155,713,0.25974025974026,"0","0","0"
"cell_1659","cell",1153,825,0.0867302688638335,"6","6","6"
"cell_1660","cell",1153,839,0.607111882046834,"2","2","2"
"cell_1661","cell",1153,800,2.77536860364267,"0","0","0"
"cell_1662","cell",1154,852,0,"8","9","9"
"cell_1663","cell",1152,816,0.0868055555555556,"4","4","4"
"cell_1664","cell",1153,824,0.173460537727667,"0","0","0"
"cell_1665","cell",1151,790,0,"2","2","2"
"cell_1666","cell",1151,683,0.347523892267593,"3","3","3"
"cell_1667","cell",1152,805,0.0868055555555556,"2","2","2"
"cell_1668","cell",1145,706,0.174672489082969,"3","3","3"
"cell_1669","cell",1148,803,0.261324041811847,"4","4","4"
"cell_1670","cell",1145,828,0.174672489082969,"1","1","1"
"cell_1671","cell",1143,794,0.26246719160105,"2","2","2"
"cell_1672","cell",1146,871,0,"0","0","0"
"cell_1673","cell",1144,785,0.437062937062937,"6","6","6"
"cell_1674","cell",1141,797,0.262927256792287,"1","1","1"
"cell_1675","cell",1146,805,0.087260034904014,"0","8","8"
"cell_1676","cell",1143,703,0,"5","5","5"
"cell_1677","cell",1140,793,0,"1","1","1"
"cell_1678","cell",1137,835,0.175901495162709,"1","1","1"
"cell_1679","cell",1140,834,0.087719298245614,"2","1","1"
"cell_1680","cell",1140,804,0,"1","1","1"
"cell_1681","cell",1137,704,0.175901495162709,"8","9","9"
"cell_1682","cell",1137,791,2.19876868953386,"0","0","0"
"cell_1683","cell",1137,754,0.351802990325418,"1","2","2"
"cell_1684","cell",1135,812,0.0881057268722467,"5","5","5"
"cell_1685","cell",1135,768,0,"2","8","8"
"cell_1686","cell",1136,848,0.0880281690140845,"4","4","4"
"cell_1687","cell",1131,786,0.17683465959328,"1","1","1"
"cell_1688","cell",1134,732,0.352733686067019,"3","3","3"
"cell_1689","cell",1133,776,0.706090026478376,"5","5","5"
"cell_1690","cell",1132,736,0.353356890459364,"3","3","3"
"cell_1691","cell",1134,592,0.793650793650794,"3","3","3"
"cell_1692","cell",1129,837,0.0885739592559787,"1","2","2"
"cell_1693","cell",1130,835,0.176991150442478,"1","1","1"
"cell_1694","cell",1128,621,2.03900709219858,"3","3","3"
"cell_1695","cell",1130,818,0.0884955752212389,"2","2","2"
"cell_1696","cell",1130,765,0.176991150442478,"2","2","2"
"cell_1697","cell",1129,799,0,"6","6","6"
"cell_1698","cell",1128,763,0.709219858156028,"3","3","3"
"cell_1699","cell",1128,693,1.15248226950355,"3","3","3"
"cell_1700","cell",1130,789,0.0884955752212389,"1","1","1"
"cell_1701","cell",1124,787,0,"1","1","1"
"cell_1702","cell",1129,838,0.265721877767936,"0","0","0"
"cell_1703","cell",1124,761,0,"0","0","0"
"cell_1704","cell",1126,813,0.088809946714032,"0","0","0"
"cell_1705","cell",1127,791,0.0887311446317657,"2","10","10"
"cell_1706","cell",1127,891,0.354924578527063,"2","2","2"
"cell_1707","cell",1125,693,0.444444444444444,"2","2","2"
"cell_1708","cell",1122,784,0,"2","2","2"
"cell_1709","cell",1126,770,0.177619893428064,"3","3","3"
"cell_1710","cell",1124,841,0.800711743772242,"6","6","6"
"cell_1711","cell",1125,804,0.355555555555556,"2","2","2"
"cell_1712","cell",1124,707,0.177935943060498,"1","1","1"
"cell_1713","cell",1123,806,0,"2","2","2"
"cell_1714","cell",1122,749,0.267379679144385,"2","2","2"
"cell_1715","cell",1122,824,0.17825311942959,"4","4","4"
"cell_1716","cell",1121,634,0.267618198037467,"3","3","3"
"cell_1717","cell",1118,640,0.626118067978533,"1","12","12"
"cell_1718","cell",1122,774,0.17825311942959,"4","4","4"
"cell_1719","cell",1122,724,0.267379679144385,"3","3","3"
"cell_1720","cell",1121,804,0.267618198037467,"1","1","1"
"cell_1721","cell",1117,730,0.26857654431513,"3","3","3"
"cell_1722","cell",1122,612,0,"3","3","3"
"cell_1723","cell",1115,665,0.269058295964126,"3","3","3"
"cell_1724","cell",1118,796,0.178890876565295,"2","2","2"
"cell_1725","cell",1121,717,0.0892060660124889,"2","2","2"
"cell_1726","cell",1117,739,0.35810205908684,"0","0","0"
"cell_1727","cell",1116,839,0.3584229390681,"0","1","1"
"cell_1728","cell",1111,712,0.27002700270027,"2","2","2"
"cell_1729","cell",1109,748,0.18034265103697,"0","0","0"
"cell_1730","cell",1109,839,0.18034265103697,"7","7","7"
"cell_1731","cell",1111,780,0.36003600360036,"0","2","2"
"cell_1732","cell",1112,774,0.179856115107914,"1","1","1"
"cell_1733","cell",1110,803,0.0900900900900901,"7","7","7"
"cell_1734","cell",1109,772,0.36068530207394,"1","1","1"
"cell_1735","cell",1110,714,0,"6","6","6"
"cell_1736","cell",1106,826,1.89873417721519,"0","11","11"
"cell_1737","cell",1102,845,0,"0","1","1"
"cell_1739","cell",1101,696,0.181653042688465,"3","3","3"
"cell_1740","cell",1104,811,0,"2","2","2"
"cell_1741","cell",1104,786,0.181159420289855,"1","1","1"
"cell_1742","cell",1101,798,0.181653042688465,"1","1","1"
"cell_1743","cell",1104,651,0,"3","3","3"
"cell_1744","cell",1100,656,0.363636363636364,"3","3","3"
"cell_1745","cell",1103,749,0.362647325475975,"0","0","0"
"cell_1746","cell",1101,677,0.181653042688465,"3","3","3"
"cell_1747","cell",1101,726,0,"2","2","2"
"cell_1748","cell",1099,853,0.0909918107370337,"1","1","1"
"cell_1749","cell",1100,824,0.181818181818182,"0","0","0"
"cell_1750","cell",1097,745,0,"0","0","0"
"cell_1751","cell",1098,785,0.0910746812386157,"0","0","0"
"cell_1752","cell",1097,780,0.182315405651778,"2","2","2"
"cell_1753","cell",1099,725,0.272975432211101,"0","0","0"
"cell_1754","cell",1096,615,0.0912408759124088,"3","3","3"
"cell_1755","cell",1094,783,0.182815356489945,"1","1","1"
"cell_1756","cell",1094,837,0,"1","1","1"
"cell_1757","cell",1093,721,0,"0","0","0"
"cell_1758","cell",1091,806,0.366636113657195,"7","7","7"
"cell_1759","cell",1090,800,0.0917431192660551,"2","2","2"
"cell_1760","cell",1092,764,0.183150183150183,"2","2","2"
"cell_1761","cell",1093,697,0.548947849954254,"0","0","0"
"cell_1762","cell",1091,764,0.458295142071494,"0","0","0"
"cell_1763","cell",1089,707,1.56106519742883,"3","3","3"
"cell_1764","cell",1089,780,0.367309458218549,"1","1","1"
"cell_1765","cell",1087,809,0.0919963201471941,"2","2","2"
"cell_1766","cell",1086,769,0.184162062615101,"1","1","1"
"cell_1767","cell",1088,762,0.183823529411765,"2","10","10"
"cell_1768","cell",1088,731,0.0919117647058823,"0","0","0"
"cell_1769","cell",1086,724,0.0920810313075506,"1","1","1"
"cell_1770","cell",1081,681,0.555041628122109,"3","3","3"
"cell_1771","cell",1084,809,0.55350553505535,"5","5","5"
"cell_1772","cell",1079,725,0.46339202965709,"0","0","0"
"cell_1773","cell",1079,754,0.185356811862836,"0","0","0"
"cell_1774","cell",1081,745,0.185013876040703,"4","4","4"
"cell_1775","cell",1079,798,0.278035217794254,"5","5","5"
"cell_1776","cell",1078,747,0.278293135435993,"2","2","2"
"cell_1777","cell",1076,796,0.836431226765799,"5","5","5"
"cell_1778","cell",1078,617,0.834879406307978,"3","3","3"
"cell_1779","cell",1077,700,0.0928505106778087,"1","1","1"
"cell_1780","cell",1077,778,0,"5","5","5"
"cell_1781","cell",1074,734,0.837988826815642,"8","9","9"
"cell_1782","cell",1075,760,0.0930232558139535,"0","0","0"
"cell_1783","cell",1076,761,0,"2","10","10"
"cell_1784","cell",1075,765,0.0930232558139535,"0","8","8"
"cell_1785","cell",1072,637,0.559701492537313,"3","3","3"
"cell_1786","cell",1074,804,1.48975791433892,"0","0","0"
"cell_1787","cell",1073,770,0,"2","2","2"
"cell_1788","cell",1072,768,0.559701492537313,"0","0","0"
"cell_1789","cell",1070,734,0.373831775700935,"1","1","1"
"cell_1790","cell",1074,796,0.186219739292365,"1","1","1"
"cell_1791","cell",1071,747,0.0933706816059757,"0","0","0"
"cell_1792","cell",1073,820,0.279589934762349,"1","1","1"
"cell_1793","cell",1071,730,0.0933706816059757,"0","1","1"
"cell_1794","cell",1072,741,0.186567164179104,"0","0","0"
"cell_1795","cell",1069,713,0.187090739008419,"0","8","8"
"cell_1796","cell",1071,809,0.0933706816059757,"1","1","1"
"cell_1797","cell",1072,622,0.932835820895522,"3","3","3"
"cell_1798","cell",1070,746,0.280373831775701,"5","5","5"
"cell_1799","cell",1068,655,0.374531835205993,"3","3","3"
"cell_1800","cell",1067,763,0,"0","0","0"
"cell_1801","cell",1064,650,0.37593984962406,"3","3","3"
"cell_1802","cell",1068,757,1.12359550561798,"2","2","2"
"cell_1803","cell",1064,762,0.093984962406015,"1","1","1"
"cell_1804","cell",1066,778,0,"1","1","1"
"cell_1805","cell",1066,745,0.0938086303939962,"1","1","1"
"cell_1806","cell",1067,753,0,"2","2","2"
"cell_1807","cell",1068,711,0,"4","4","4"
"cell_1808","cell",1067,785,0.0937207122774133,"0","0","0"
"cell_1809","cell",1066,755,0.375234521575985,"0","0","0"
"cell_1810","cell",1066,784,0.0938086303939962,"1","1","1"
"cell_1811","cell",1066,598,0.0938086303939962,"3","3","3"
"cell_1812","cell",1062,779,0.282485875706215,"5","5","5"
"cell_1813","cell",1059,778,0.188857412653447,"2","2","2"
"cell_1814","cell",1064,748,0,"1","1","1"
"cell_1815","cell",1063,789,0.188146754468485,"4","4","4"
"cell_1816","cell",1061,785,0.56550424128181,"0","0","0"
"cell_1817","cell",1060,777,0.0943396226415094,"4","4","4"
"cell_1818","cell",1058,652,0.283553875236295,"3","3","3"
"cell_1819","cell",1060,845,0.943396226415094,"4","4","4"
"cell_1820","cell",1059,730,0,"0","0","0"
"cell_1821","cell",1059,709,0.377714825306893,"1","1","1"
"cell_1822","cell",1059,686,0.0944287063267233,"3","3","3"
"cell_1823","cell",1058,793,0.850661625708885,"4","4","4"
"cell_1824","cell",1057,767,0,"0","0","0"
"cell_1825","cell",1058,675,0.0945179584120983,"2","2","2"
"cell_1826","cell",1056,812,0.0946969696969697,"4","4","4"
"cell_1827","cell",1059,772,0.188857412653447,"2","2","2"
"cell_1828","cell",1057,733,0.0946073793755913,"0","0","0"
"cell_1829","cell",1056,741,0,"7","7","7"
"cell_1830","cell",1053,607,0.189933523266857,"3","3","3"
"cell_1831","cell",1050,779,0,"0","0","0"
"cell_1832","cell",1050,767,0,"1","1","1"
"cell_1833","cell",1051,641,0.0951474785918173,"3","3","3"
"cell_1834","cell",1052,707,0.380228136882129,"0","0","0"
"cell_1835","cell",1050,782,0.0952380952380952,"1","1","1"
"cell_1836","cell",1049,750,0.285986653956149,"1","1","1"
"cell_1837","cell",1045,740,0,"1","8","8"
"cell_1838","cell",1043,778,0.479386385426654,"1","1","1"
"cell_1839","cell",1047,729,0.382043935052531,"4","4","4"
"cell_1840","cell",1046,793,0.286806883365201,"0","0","0"
"cell_1841","cell",1048,684,0.572519083969466,"6","6","6"
"cell_1842","cell",1045,744,0.382775119617225,"0","0","0"
"cell_1843","cell",1041,760,0.384245917387128,"2","2","2"
"cell_1844","cell",1045,770,0.0956937799043062,"2","2","2"
"cell_1845","cell",1043,794,0.191754554170662,"2","2","2"
"cell_1846","cell",1042,688,0.575815738963532,"3","3","3"
"cell_1847","cell",1041,775,0.0960614793467819,"0","0","0"
"cell_1848","cell",1043,737,0.0958772770853308,"0","0","0"
"cell_1849","cell",1043,776,0.0958772770853308,"2","2","2"
"cell_1850","cell",1042,651,0.383877159309021,"0","0","0"
"cell_1851","cell",1040,753,0,"2","2","2"
"cell_1852","cell",1036,699,0,"3","3","3"
"cell_1853","cell",1035,807,0,"1","1","1"
"cell_1854","cell",1034,801,0.676982591876209,"1","1","1"
"cell_1855","cell",1035,750,0.193236714975845,"0","0","0"
"cell_1856","cell",1032,765,0.0968992248062016,"2","1","1"
"cell_1857","cell",1033,702,0.193610842207164,"0","0","0"
"cell_1858","cell",1031,758,0.2909796314258,"0","0","0"
"cell_1859","cell",1032,719,0.387596899224806,"4","4","4"
"cell_1860","cell",1031,719,0.872938894277401,"0","0","0"
"cell_1861","cell",1033,713,0.0968054211035818,"2","2","2"
"cell_1862","cell",1030,767,0.0970873786407767,"4","4","4"
"cell_1863","cell",1030,754,0,"0","0","0"
"cell_1864","cell",1029,719,0.0971817298347911,"2","2","2"
"cell_1865","cell",1031,726,0.0969932104752667,"4","4","4"
"cell_1866","cell",1031,768,0.0969932104752667,"2","2","2"
"cell_1867","cell",1027,736,0.486854917234664,"1","1","1"
"cell_1868","cell",1028,829,0.194552529182879,"4","4","4"
"cell_1869","cell",1029,709,0,"2","1","1"
